lan,year,prodv
vasternorrlands_lan,2003,7604
vasternorrlands_lan,2004,8731
vasternorrlands_lan,2005,9092
vasternorrlands_lan,2006,10649
vasternorrlands_lan,2007,13022
vasternorrlands_lan,2008,15417
vasternorrlands_lan,2009,13052
vasternorrlands_lan,2010,14716
vasternorrlands_lan,2011,15156
vasternorrlands_lan,2012,14665
vasternorrlands_lan,2013,13316
vasternorrlands_lan,2014,14262
vasternorrlands_lan,2015,14888
vasternorrlands_lan,2016,14008
vasternorrlands_lan,2017,15574
vasternorrlands_lan,2018,17366
vasternorrlands_lan,2019,18974
vasternorrlands_lan,2020,18319
vasternorrlands_lan,2021,20971
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,5145
jamtlands_lan,2004,5813
jamtlands_lan,2005,5353
jamtlands_lan,2006,6173
jamtlands_lan,2007,8207
jamtlands_lan,2008,10541
jamtlands_lan,2009,9029
jamtlands_lan,2010,8742
jamtlands_lan,2011,9708
jamtlands_lan,2012,8738
jamtlands_lan,2013,8229
jamtlands_lan,2014,8846
jamtlands_lan,2015,9105
jamtlands_lan,2016,9042
jamtlands_lan,2017,10700
jamtlands_lan,2018,11376
jamtlands_lan,2019,12581
jamtlands_lan,2020,12533
jamtlands_lan,2021,17111
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,5900
vasterbottens_lan,2004,9488
vasterbottens_lan,2005,8923
vasterbottens_lan,2006,10690
vasterbottens_lan,2007,12827
vasterbottens_lan,2008,15988
vasterbottens_lan,2009,8558
vasterbottens_lan,2010,9571
vasterbottens_lan,2011,10175
vasterbottens_lan,2012,11323
vasterbottens_lan,2013,11069
vasterbottens_lan,2014,11515
vasterbottens_lan,2015,12721
vasterbottens_lan,2016,13205
vasterbottens_lan,2017,14128
vasterbottens_lan,2018,16018
vasterbottens_lan,2019,17330
vasterbottens_lan,2020,17317
vasterbottens_lan,2021,20770
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,6497
norrbottens_lan,2004,6194
norrbottens_lan,2005,6171
norrbottens_lan,2006,7570
norrbottens_lan,2007,9102
norrbottens_lan,2008,10869
norrbottens_lan,2009,10288
norrbottens_lan,2010,9513
norrbottens_lan,2011,11188
norrbottens_lan,2012,13121
norrbottens_lan,2013,12926
norrbottens_lan,2014,13562
norrbottens_lan,2015,12873
norrbottens_lan,2016,13630
norrbottens_lan,2017,14938
norrbottens_lan,2018,17063
norrbottens_lan,2019,18001
norrbottens_lan,2020,17713
norrbottens_lan,2021,19855
norrbottens_lan,2022,
norrbottens_lan,2023,
